qa_id,speech_id,qa_no,question,answer,created_at
154,120805124X00920220415_052,4,道下委員は財務当局に納得させるために何が必要だと考えていますか？,少人数学級になった分、これだけ教育効果がありますと示せなかったら、財務当局を説得できないと考えています。,2026-01-16 06:45:59
155,120805124X00920220415_052,5,道下委員は今後の教育推進について、誰に期待を寄せていますか？,文部科学大臣として末松大臣に期待を寄せています。,2026-01-16 06:45:59
156,120805124X00920220415_053,1,末松国務大臣は、適正な学級の人数についてどのような意見を持っていますか？,適正な学級の人数については、さまざまな意見があるが、中学校では三十五人を目指すべきだと思っている。,2026-01-16 06:46:07
157,120805124X00920220415_053,2,末松国務大臣は、学級編制基準の引下げについてどのように考えていますか？,学級編制基準の引下げを計画的に進め、その影響について実証的な研究を行った上で、学校の望ましい指導体制を考えていきたいとのこと。,2026-01-16 06:46:07
158,120805124X00920220415_053,3,末松国務大臣が理想とする学級の人数は何人ですか？,理想を持って進むべき人数として、三十人を目指すべきだと述べている。,2026-01-16 06:46:07
159,120805124X00920220415_053,4,末松国務大臣が引用した作品「二十四の瞳」では、何人の生徒が登場しますか？,「二十四の瞳」では十二人の生徒が登場している。,2026-01-16 06:46:07
160,120805124X00920220415_053,5,末松国務大臣は、どの時期に中学校三十五人についての見解を述べましたか？,昨年の十月二十八日に中学校三十五人の見解を問われた際に述べた。,2026-01-16 06:46:07
161,120805124X00920220415_054,1,道下委員はどのように少人数学級を進めるべきだと考えているのか？,ゴールを決めて、三十人の少人数学級に向けてどうやって、どういうスケジュールで進めていくのかを示してほしいと考えています。,2026-01-16 06:46:15
162,120805124X00920220415_054,2,道下委員は少人数学級の実施をいつまでに行うべきだと述べているのか？,長期間かけるのではなく、短期間に進めるべきだと述べています。,2026-01-16 06:46:15
163,120805124X00920220415_054,3,道下委員が強調している日本の教育における重要な点は何か？,誰一人取り残さない教育をするためには、早急な少人数学級が日本には必要だということです。,2026-01-16 06:46:15
164,120805124X00920220415_054,4,勤務実態調査について道下委員はどのような意見を持っているのか？,高校や幼稚園も調査する必要があると考えています。,2026-01-16 06:46:15
165,120805124X00920220415_054,5,道下委員は勤務実態調査の対象やスケジュールについて何を求めているのか？,今回の勤務実態調査の期間や対象、調査後の確定値公表までのスケジュールについて伺いたいと述べています。,2026-01-16 06:46:15
166,120805124X00920220415_092,1,西岡委員は学校の統廃合についてどのような現状を指摘していますか？,全国各地域において学校の統廃合が進んでいるという現状があると思います。,2026-01-16 06:46:23
167,120805124X00920220415_092,2,35人学級の導入はいつから始まりますか？,2021年度から段階的に、公立小学校、二年生から35人学級が導入されます。,2026-01-16 06:46:23
168,120805124X00920220415_092,3,西岡委員が述べた少人数学級のメリットについての認識はどのようなものですか？,少人数学級のメリットが再認識されております。,2026-01-16 06:46:23
169,120805124X00920220415_092,4,教育を地方創生の核として位置づけているのはどの機関ですか？,内閣府においても、地方創生の核として教育を位置づけられております。,2026-01-16 06:46:23
170,120805124X00920220415_092,5,西岡委員が人口減少に伴う学校の在り方について強調しているポイントは何ですか？,学校があるからこそ子育てをして住み続けていこうという思いが生まれてくるということです。,2026-01-16 06:46:23
171,120805124X00920220415_126,1,宮本（岳）委員は、大学の学費が高過ぎることに対してどのような問題を指摘しましたか？,経済的困難で学べない学生が出ることは大変問題だと述べました。,2026-01-16 06:46:32
172,120805124X00920220415_126,2,学生支援機構が滞納者について行った調査結果はどのようなものでしたか？,年収三百万円未満の滞納者が八二・三％おり、全体で見ても七割が年収三百万円に満たないことが分かっています。,2026-01-16 06:46:32
173,120805124X00920220415_126,3,年収三百万円未満の人が返済猶予を認められる理由は何ですか？,自ら支払い能力がないことを認めるためです。,2026-01-16 06:46:32
174,120805124X00920220415_126,4,宮本（岳）委員は返済を求める方法についてどのように述べましたか？,返済能力がない人に対して大きな網をかけて全部一括返済を求めるのはむごい方法だと考えています。,2026-01-16 06:46:32
175,120805124X00920220415_126,5,宮本（岳）委員は、問題を解決するために何を提案しましたか？,文言の修正では済まない根本的な修正が必要だと述べました。,2026-01-16 06:46:32
176,120804889X02120220422_215,1,少人数学級の実施には何が必要ですか？,特に多額のお金がかかります。,2026-01-16 06:46:51
177,120804889X02120220422_215,2,待機児童は現在どうなっていますか？,まだなくなったわけではありません。,2026-01-16 06:46:51
178,120804889X02120220422_215,3,地方創生の観点から、地方ではどのような状況がありますか？,地方の方では子供たちが少なくなって、保育園が立ち行かない、幼稚園が立ち行かないというところもあります。,2026-01-16 06:46:51
179,120804889X02120220422_215,4,子ども省に関して立憲民主党はどのように呼んでいますか？,立憲民主党は子ども省と言っております。,2026-01-16 06:46:51
180,120804889X02120220422_215,5,子ども関係予算の倍増について、どのような法案がありますか？,立憲民主党提出の子ども総合基本法、こちらの成立へ皆様の御支援をお願いいたしまして、私の質問とさせていただきます。,2026-01-16 06:46:51
181,120804889X02120220422_403,1,大石委員は、差別発言についてどのように評価していますか？,そもそも、この差別発言のみならず、言っていることがむちゃくちゃなんですね。,2026-01-16 06:46:59
182,120804889X02120220422_403,2,大石委員は、子供の視点から見るとどのような問題があると考えていますか？,それって、結局、子供を主体に見れていない。,2026-01-16 06:46:59
183,120804889X02120220422_403,3,二〇二〇年度の児童虐待や不登校、いじめの件数はどのような状況でしたか？,二〇二〇年度、児童虐待や不登校、いじめの件数は過去最多であり、十九歳以下の子供の自殺者は約八百人に上ります。,2026-01-16 06:46:59
184,120804889X02120220422_403,4,コロナ禍はどのような影響を子供たちに与えたとされていますか？,コロナ禍は更にマイナスの影響を与えています。,2026-01-16 06:46:59
185,120804889X02120220422_403,5,大石委員は政府のいじめ防止策に対して何を思っていますか？,果たしてそうなんでしょうかということで伺います。,2026-01-16 06:46:59
186,120804889X02120220422_405,1,いじめ防止に最も必要なことは何ですか？,教職員の数を増やすことです。,2026-01-16 06:47:07
187,120804889X02120220422_405,2,れいわ新選組は、どのような教育環境の提案をしていますか？,二十人以下学級の少人数学級、小学校は二十五人以下、中学校は三十人以下学級にすることを提案しています。,2026-01-16 06:47:07
188,120804889X02120220422_405,3,教職員定数を改善したという文科省の発表はどうなっていますか？,文科省は教職員定数を四千六百九十人改善したと言っていますが、実際には三千六百六十人にとどまります。,2026-01-16 06:47:07
189,120804889X02120220422_405,4,教職員が減少している理由は何ですか？,少子化による自然減や学校の統廃合の合理化などがあります。,2026-01-16 06:47:07
190,120804889X02120220422_405,5,教職員を増やすことが必要な理由は何ですか？,不登校やいじめの根本問題として、教職員が忙し過ぎていじめに目をつぶる現状が大きな原因です。,2026-01-16 06:47:07
191,120804889X02120220422_407,1,教員や職員の数を増やす改善計画はどうなっていますか？,教員の、職員を増やす改善計画というものが止まっている。,2026-01-16 06:47:13
192,120804889X02120220422_407,2,標準法は改定されていますか？,標準法というのも改定されていないのではないかと思います。,2026-01-16 06:47:13
193,120804889X02120220422_407,3,少人数学級と教職員の数を増やすことは子供にとってどのような意義がありますか？,少人数学級と教職員の数を増やすことが、子供の人権を守り、学校のいじめ防止の第一歩であると考える。,2026-01-16 06:47:13
194,120804889X02120220422_407,4,維新案には少人数学級を含む計画がありますか？,維新の方に御質問します。,2026-01-16 06:47:13
195,120804889X02120220422_407,5,望ましい学級人数についての意見は求められましたか？,何人学級が望ましいと考えているのか。,2026-01-16 06:47:13
196,120804889X02120220422_408,1,学校教育において望ましい学級人数は何人だと考えているか？,二十人、三十人といった更なる少人数学級には教育的価値の側面からは様々な利点があるものの、教室数や教員の人材確保など、すぐには実現できない課題があります。,2026-01-16 06:47:19
197,120804889X02120220422_408,2,公立義務教育諸学校の学級編制及び教職員定数についての法律改正には、どの党が賛成したか？,日本維新の会も賛成をいたしました。,2026-01-16 06:47:19
198,120804889X02120220422_408,3,少人数学級についての利点はどのようなものか？,教育的価値の側面からは様々な利点があります。,2026-01-16 06:47:19
199,120804889X02120220422_408,4,教室に何人いることが重要と考えているか？,教室に何人子供がいるかということも大切ですが、教室に何人の教師がいるかということも大切であると考えます。,2026-01-16 06:47:19
200,120804889X02120220422_408,5,早期に設定すべきと考える目標は何か？,まずは、早期に中長期的な目標を設定することが重要であると考えております。,2026-01-16 06:47:19
201,120804889X02120220422_409,1,大阪市の大人数学級に関する状況はどうなっていますか？,大阪においては、維新市政、府政が大人数学級を推進しています。三年生以上の子供たちについて、四十人詰め詰めの学級にしたいようで、大阪市内では条例を作り、小学校を潰していこうとしています。,2026-01-16 06:47:34
202,120804889X02120220422_409,2,大阪市立の小学校はどのくらい統廃合対象になっていますか？,二〇二〇年時点で二百八十七ある大阪市立の小学校の三分の一が統廃合対象になっています。,2026-01-16 06:47:34
203,120804889X02120220422_409,3,特別支援学校の生徒をカウントしない場合、どのような問題がありますか？,特別支援学校の生徒をカウントしないことで、最悪四十六人のクラスも生まれています。,2026-01-16 06:47:34
204,120804889X02120220422_409,4,大阪府内で他の市はどのように取り組んでいますか？,他の市では、予算措置をして四十人を超えないようにダブルカウントする取り組みをしています。,2026-01-16 06:47:34
205,120804889X02120220422_409,5,政府案では何が明記されていますか？,政府案で、安定財源を確保すると明記されています。,2026-01-16 06:47:34
